,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,close_raw,open_raw,high_raw,low_raw,price_type
68,301308.SZ,2025-09-02,98.99993003234816,99.47992969311107,93.11993418800265,93.99993356606795,100.14,-6.14,-6.1314,110192.72,1056187.152,94.0,99.0,99.48,93.12,forward_adjusted
69,301308.SZ,2025-09-03,94.88992469204072,95.5899241364967,91.7099272157978,92.06992693008945,94.0,-1.93,-2.0532,62379.3,584739.353,92.07,94.89,95.59,91.71,forward_adjusted
70,301308.SZ,2025-09-04,91.6499421375408,92.5899415440797,85.37994609605273,86.87994514904031,92.07,-5.19,-5.637,94231.55,837776.17,86.88,91.65,92.59,85.38,forward_adjusted
71,301308.SZ,2025-09-05,86.99994789922047,94.95994313229858,86.30994831243356,93.58994395273615,86.88,6.71,7.7233,104790.64,953634.624,93.59,87.0,94.96,86.31,forward_adjusted
72,301308.SZ,2025-09-08,92.99991993134863,96.98991649614518,92.79992010353926,96.94991653058332,93.59,3.36,3.5901,95440.16,910919.818,96.95,93.0,96.99,92.8,forward_adjusted
73,301308.SZ,2025-09-09,95.89989496931236,96.17989466265341,92.80989835351282,93.0598980797102,96.95,-3.89,-4.0124,60501.31,570306.439,93.06,95.9,96.18,92.81,forward_adjusted
74,301308.SZ,2025-09-10,93.05992609774404,95.99992376298546,92.00992693158639,92.06992688393824,93.06,-0.99,-1.0638,57416.0,535964.31,92.07,93.06,96.0,92.01,forward_adjusted
75,301308.SZ,2025-09-11,92.11993855054833,97.79993476165464,92.11993855054833,97.49993496177227,92.07,5.43,5.8977,110113.65,1056056.988,97.5,92.12,97.8,92.12,forward_adjusted
76,301308.SZ,2025-09-12,100.99989622413544,115.09988173661375,100.02989722079474,110.97988596984705,97.5,13.48,13.8256,321973.45,3459350.599,110.98,101.0,115.1,100.03,forward_adjusted
77,301308.SZ,2025-09-15,116.30993746231609,116.59993730638857,107.99994193044567,111.30994015072137,110.98,0.33,0.2974,260551.77,2891711.47,111.31,116.31,116.6,108.0,forward_adjusted
78,301308.SZ,2025-09-16,110.74994455580824,119.30994027046033,109.1399453618141,115.22994231300933,111.31,3.92,3.5217,238315.21,2705570.138,115.23,110.75,119.31,109.14,forward_adjusted
79,301308.SZ,2025-09-17,114.00995984688954,116.87995883610603,111.70996065692509,114.72995959331318,115.23,-0.5,-0.4339,156575.44,1785052.505,114.73,114.01,116.88,111.71,forward_adjusted
80,301308.SZ,2025-09-18,115.99995049615417,120.89994840504345,111.6499523525484,113.98995135393632,114.73,-0.74,-0.645,225659.35,2633200.331,113.99,116.0,120.9,111.65,forward_adjusted
81,301308.SZ,2025-09-19,117.00996225538046,135.39995632320753,117.00996225538046,127.94995872639885,113.99,13.96,12.2467,269657.14,3410369.532,127.95,117.01,135.4,117.01,forward_adjusted
82,301308.SZ,2025-09-22,130.53992226381692,145.14991356360525,130.53992226381692,140.69991621356704,127.95,12.75,9.9648,281942.54,3941688.583,140.7,130.54,145.15,130.54,forward_adjusted
83,301308.SZ,2025-09-23,138.87986936791995,144.66986392178123,137.86987031793723,144.2998642698074,140.7,3.6,2.5586,253508.5,3583018.226,144.3,138.88,144.67,137.87,forward_adjusted
84,301308.SZ,2025-09-24,144.98988505306698,157.76987492118337,142.66988689234472,150.8598803993771,144.3,6.56,4.5461,253200.59,3817560.957,150.86,144.99,157.77,142.67,forward_adjusted
85,301308.SZ,2025-09-25,144.99995950998618,146.87995898501222,142.02996033933337,143.89995981715182,150.86,-6.96,-4.6135,207989.88,3001606.544,143.9,145.0,146.88,142.03,forward_adjusted
86,301308.SZ,2025-09-26,142.51994332248142,147.49994134202925,139.99994432463794,140.99994392695677,143.9,-2.9,-2.0153,164852.51,2359294.094,141.0,142.52,147.5,140.0,forward_adjusted
87,301308.SZ,2025-09-29,145.0,149.6,142.68,148.36,141.0,7.36,5.2199,173741.04,2550019.788,148.36,145.0,149.6,142.68,forward_adjusted
